Unidade;Area;Capacitacao;Tipo;Horas;Custo;Mes T1;Data T1;Status T1;Convidados T1;Presentes T1;NPS T1;Mes T2;Data T2;Status T2;Convidados T2;Presentes T2;NPS T2;Mes T3;Data T3;Status T3;Convidados T3;Presentes T3;NPS T3;Mes T4;Data T4;Status T4;Convidados T4;Presentes T4;NPS T4;Mes T5;Data T5;Status T5;Convidados T5;Presentes T5;NPS T5
SMC;Manutenç‹o;Manutenç‹o Correias Transportadoras ;Externo;8;39478;Mai;10 e 11;Realizado;20;18;100;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Manutenç‹o;Controles Seletivos Mec‰nico ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Manutenç‹o;Manutenç‹o e Operaç‹o Resfriador ;Interno;;;Ago;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Produç‹o;Formaç‹o Clinquerizaç‹o com Simulex ;Interno;;;Mar;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Manutenç‹o;Automaç‹o Industrial ;Interno;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;Motores de M?dia Tens‹o;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;Inversores de M?dia Tens‹o;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;Inversores de M?dia Tens‹o;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;Inversores de M?dia Tens‹o;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;Inversores de M?dia Tens‹o;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;Manutenç‹o Preventiva e Inspeç‹o em  Analisadores  ;Externo;;17800;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;Engenharia de Confiabilidade ( RCM ÒAbordagem ProativaÓ);Externo;32;19100;Abr;6 a 10;Planejado;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manutenç‹o Corporativa ;T1: Formaç‹o Key user I SAP PM / EAM S/4HANA ;Externo;32;19100;Mai;4 a 8;Planejado;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Manutenç‹o;Manutenç‹o e Operaç‹o Ensacadeiras ;Externo;32;;Abr;14 a 17;Planejado;15;;;;;;;;;;;;;;;;;;;;;;;;;;
