ID;Unidade;Área;Nome do Treinamento;Tipo;Mês (0-11);Dias;Status;NPS;Convidados;Presentes;Horas;Custo
T1-SMC-MANU;SMC;Manutenção;Manutenção Correias Transportadoras ;Externo;4;10 e 11;Realizado;100;20;18;8;39478
T2-SMC-MANU;SMC;Manutenção;Controles Seletivos Mecânico ;Externo;5;;Em andamento ;;;;;
T3-SMC-MANU;SMC;Manutenção;Manutenção e Operação Resfriador ;Interno;7;;Em andamento ;;;;;
T4-SMC-PROD;SMC;Produção;Formação Clinquerização com Simulex ;Interno;2;;Em andamento ;;;;;
T5-SMC-MANU;SMC;Manutenção;Automação Industrial ;Interno;3;;Em andamento ;;;;;
T1-CORP-MANU;Corporativo;Manutenção Corporativa ;Motores de Média Tensão;Externo;5;;Em andamento ;;;;;
T2.1-CORP-MANU;Corporativo;Manutenção Corporativa ;Inversores de Média Tensão;Externo;5;;Em andamento ;;;;;
T2.2-CORP-MANU;Corporativo;Manutenção Corporativa ;Inversores de Média Tensão;Externo;5;;Em andamento ;;;;;
T2.3-CORP-MANU;Corporativo;Manutenção Corporativa ;Inversores de Média Tensão;Externo;5;;Em andamento ;;;;;
T2.4-CORP-MANU;Corporativo;Manutenção Corporativa ;Inversores de Média Tensão;Externo;5;;Em andamento ;;;;;
T3-CORP-MANU;Corporativo;Manutenção Corporativa ;Manutenção Preventiva e Inspeção em  Analisadores  ;Externo;6;;Em andamento ;;;;;17800
T4-CORP-MANU;Corporativo;Manutenção Corporativa ;Engenharia de Confiabilidade ( RCM “Abordagem Proativa”);Externo;3;6 a 10;Planejado;;15;;32;19100
T5-CORP-MANU;Corporativo;Manutenção Corporativa ;T1: Formação Key user I SAP PM / EAM S/4HANA ;Externo;4;4 a 8;Planejado;;;;32;19100
T1-CAJ-MANU;CAJ;Manutenção;Manutenção e Operação Ensacadeiras ;Externo;3;14 a 17;Planejado;;15;;32;
T2-CAJ-MANU;CAJ;Manutenção;Manutenção e Operação Paletizadoras ;Externo;4;;Em andamento ;;;;;
T3-CAJ-PROD;CAJ;Produção;Operação Moinho de Bolas;Interno;1;;Em andamento ;;;;;
T4-CAJ-MANU;CAJ;Manutenção;Capacitação Sistema Especialista ;Interno;1;;Em andamento ;;;;;
T5-CAJ-MANU;CAJ;Manutenção;Rede de Comunicação Elétrica Industrial ;Externo;4;;Em andamento ;;;;;
T1.1-SPA-MANU;SPA;Manutenção;Automação Industrial ;Externo;3;;Em andamento ;;;;;
T2-SPA-MANU;SPA;Manutenção;Instrumentação ;Externo;2;;Em andamento ;;;;;
T3-SPA-MANU;SPA;Manutenção;Alinhamento Conjuntos Rotativos e Montagem de Rolamentos ;Externo;8;;Em andamento ;;;;;
T4-SPA-MANU;SPA;Manutenção;Pneumática;Externo;8;;Em andamento ;;;;;
T5-SPA-MANU;SPA;Manutenção;Factory Talk View Studio;Externo;8;;Em andamento ;;;;;
T1-BDQ-MANU;BDQ;Manutenção;Manuseio nos Blasters Martin;Externo;2;18 a 20;Planejado;;25;;4;5000
T2-BDQ-MANU;BDQ;Manutenção;Manuseio de Bomba e Compressores ;Externo;3;;Em andamento ;;;;;
T3-BDQ-PROD;BDQ;Produção;Manutenção e Operação Filtros de Mangas;Externo;4;;Em andamento ;;;;;
T4-BDQ-MANU;BDQ;Manutenção;Automação Industrial ;Externo;3;;Em andamento ;;;;;
T5-BDQ-MANU;BDQ;Manutenção;Pneumática;Externo;5;;Em andamento ;;;;;
T1-API-MANU;API;Manutenção;Operatória de Manutenção ;Interno;6;;Em andamento ;;;;;6000
